個
台
灯
枚
頭
本
張
戸
軒
棟
杯
匹
架
体
柱
局
番
着
具
羽
席
献
柄
玉
齣
枝
尾
掛
疋
筋
条
幅
軸
対
振り
腰
株
刎
座
葉
帖
把
騎
行
襲
揃
領
錠
服
包
貼
果
菓
顆
足
面
人
俵
輿
喉
斤
叺
貫
篇
尊
椀
挺
両
連
頁
球
部
箱
門
戦
畳
発
反
脚
卓
口
壺
封
句
下
膳
輪
片
腹
石
機
名
双
拍
躯
管
茎
隻
艘
丁
粒
区画
基
冊
巻
手
切れ
品
人前
位
首
鍵
